conference_acronym	conference_name	conference_location
ICCCS--Ei and Scopus 2018	2018 3rd International Conference on Computer and Communication Systems (ICCCS 2018)--Ei Compendex and Scopus	Nagoya, Japan
RADIO AI 2018	RADIO AI - An Invitation for AI Educators and Professionals to Reach the Public	www.radioai.net
SMART 2017	Scientific Methods in Academic Research and Teaching	Timisoara, Romania
ACM--ICMSR--Ei, Scopus and ISI 2018	2018 International Conference on Mechatronic Systems and Robots (ICMSR 2018)--ACM, Ei, Scopus and ISI	Singapore
CIAALS 2018	Workshop on Computational Intelligence in Ambient Assisted Living Systems	Porto, Portugal
ICMEAE--Ei and Scopus 2018	2018 5th International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2018)--Ei Compendex and Scopus	Nagoya, Japan
IPMU 2018	17th Information Processing and Management of Uncertainty in Knowledge-Based Systems Conference	Cádiz- Spain
ICDIP-SPIE 2018	ICDIP 2018 The 10th International Conference on Digital Image Processing--Ei Compendex, Scopus and CPCI	Shanghai, China
ICUASA 2018	2018 International Conference on Umanned Aerial Systems and Aerospace(ICUASA 2018)	Shanghai
ICINT--EI, Scopus 2018	2018 3rd International Conference on Information and Network Technologies (ICINT 2018)--EI Compendex, Scopus	Osaka, Japan
N/A 2018	Special Issue on Granular Computing in Financial Engineering, Journal of Granular Computing	N/A
IEEE CIM SI 2018	IEEE Computational Intelligence Magazine. Special Issue on Computational Intelligence in Finance and Economics	N/A
ICMRA--Ei & Scopus 2018	2018 International Conference on Mechatronics,Robotics and Automation (ICMRA 2018)--Ei & Scopus	Hefei, China
ICMVA--EI Compendex, Scopus 2018	2018 The International Conference on Machine Vision and Applications (ICMVA 2018)--EI Compendex, Scopus	Singapore
Ei - ICBDA - IEEE 2018	2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA 2018)--IEEE Xplore and Ei Compendex	Shanghai, China
ICFCC--Ei & Scopus 2018	2018 The 10th International Conference on Future Computer and Communication (ICFCC 2018)--Ei & Scopus	Singapore
ParLearning 2018	The 7th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Vancouver, Canada
ISNN 2018	15th International Symposium on Neural Networks	Minsk, Belarus
ICAISE--IEEE, EI and Scopus 2018	2018 International Conference on Artificial Intelligence and Software Engineering (ICAISE 2018)--IEEE, EI Compendex and Scopus	Chengdu, China
AIAI 2018	14th Artificial Intelligence Applications and Innovations 2018	Rhodes island Greece
ICMLT--Ei and Scopus 2018	2018 International Conference on Machine Learning Technologies (ICMLT 2018)--Ei Compendex and Scopus	Jinan, China
SPIE--IWPR--Ei Compendex, Scopus 2018	SPIE--2018 the 3rd International Workshop on Pattern Recognition (IWPR 2018)--Ei, Scopus and ISI	Jinan, China
EAIS 2018	Evolving and Adaptive Intelligent Systems 2018	island of Rhodes GREECE
ITS 2018	The 14th International Conference on Intelligent Tutoring Systems	Montreal, Canada
ITS 2018	Intelligent Tutoring Systems	Montreal, Canada
GECCO 2018	Genetic and Evolutionary Computation Conference	Kyoto, Japan
IJCAI 2018	International Joint Conferences on Artificial Intelligence Organization	Stockholm, Sweden
ISASE-MAICS 2018	The 4th International Symposium on Affective Science and Engineering and the 29th Modern Artificial Intelligence and Cognitive Science Conference	Spokane, WA, USA
DCAI 2018	15th International Conference on Distributed Computing and Artificial Intelligence	Toledo (Spain)
ICMSC - Ei 2018	IEEE-ICMSC 2018-International Conference on Mechanical, System and Control Engineering--Ei Compendex & Scopus	Moscow, Russia
AIMS 2018	The 7th International Conference on AI and Mobile Services	Seattle, USA
ACL 2018	56th Annual Meeting of the Association for Computational Linguistics	Melbourne, Australia
BigData Congress 2018	The 7th International Congress on Big Data	Seattle, USA
INISTA 2018	IEEE International Conference on Innovations in Intelligent SysTems and Applications	Thessaloniki, Greece
ECCV 2018	European Conference on Computer Vision	Munich, Germany
CIG 2018	2018 IEEE Conference on Computational Intelligence and Games	Maastricht, the Netherlands
JDIQ-CDMD 2019	Special issue of the ACM Journal of Data and Information Quality (ACM JDIQ) on Combating Digital Misinformation and Disinformation	N/A
MESS 2018	Metaheuristics Summer School	Taormina-Sicily, Italy
ICCBR 2018	International Conference on Case-Based Reasoning	Stockholm, Sweden
KES 2018 PR-TAC 2018	KES Invited Session on Pattern Recognition: Trends, Applications and Challenges	Belgrade, Serbia
ICISIP 2018	The 6th IIAE International Conference on Intelligent Systems and Image Processing 2018	Matsue, Japan
ACIIDS 2018	10th Asian Conference on Intelligent Information and Database Systems	Dong Hoi City, Vietnam
StoryCase 2012	ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)	Lyon, France
CLOSER 2018	8th International Conference on Cloud Computing and Services Science	Funchal, Madeira, Portugal
CSAI - Ei &Scopus 2017	2017 International Conference on Computer Science and Artificial Intelligence (CSAI 2017)--Ei Compendex & Scopus	Kalbis Institute, Jakarta, Indonesia
IUI 2017	Intelligent User Interfaces	Limassol, Cyprus
AISTATS 2018	The 21st International Conference on Artificial Intelligence and Statistics	Playa Blanca, Lanzarote
ISICS 2018	International Symposium on Intelligent Computing Systems - ISICS 2018	Merida, Mexico
ARIN 2017	3rd International Conference on Artificial Intelligence	Dubai, UAE
SAI 2017	6 th International Conference on Soft Computing, Artificial Intelligence and Applications	Sydney,Australia
CIIP 2017	Computational Intelligence in Image Processing 2017 (Mathematical Problems in Engineering IF (0.644)	N/A
ACM--ICMCE 2017	ACM--2017 6th International Conference on Mechatronics and Control Engineering (ICMCE 2017)--Ei Compendex, ISI Web of Science and Scopus	St. Petersburg, Russia
ICROM-Ei 2017	Ei--2017 the International Conference on Robotics and Electromechanical (ICRoM 2017)--Scopus	Hong Kong
WoLGA 2018	Workshop on Logical Geometry and its Applications	Vichy, France
ICMME - Ei 2017	2017 The 4th International Conference on Mechatronics and Mechanical Engineering (ICMME 2017)--Ei Compendex and Scopus	Kuala Lumpur, Malaysia
BRAIN 2017	Broad Research in Artificial Intelligence and Neuroscience	Bacau
KRR@SAC 2018	KRR@SAC 2018 : Knowledge Representation and Reasoning (track of the 33rd ACM/SIGAPP Symposium On Applied Computing)	Pau, France
ICSC 2018	12th IEEE International Conference on Semantic Computing (ICSC 2018)	Laguna Hills, CA
ICBSB - Ei 2017	2017 2nd International Conference on Biomedical Signal and Bioinformatics (ICBSB 2017)--Ei Compendex and Scopus	AUT University, Auckland, New Zealand
ICSPS - Ei 2017	2017 9th International Conference on Signal Processing Systems (ICSPS 2017)--Ei Compendex and Scopus	AUT University, Auckland, New Zealand
RiTA 2017	The 5th International Conference on Robot Intelligence Technology and Applications	KAIST, Daejeon, KOREA
ICITDA 2017	International Conference on Information Technology and Digital Applications	Yogyakarta, Indonesia
ICMERR 2017	2017 2nd International Conference on Mechanical Engineering and Robotics Research (ICMERR 2017)-EI Compendex, Scopus	Paris, France
ACMLC--EI Compendex, Scopus 2017	2017 Asia Conference on Machine Learning and Computing (ACMLC 2017)--EI Compendex, Scopus	Singapore
ICBRA - Ei 2017	2017 International Conference on Bioinformatics Research and Applications (ICBRA 2017)--Ei Compendex, Scopus and ISI	Barcelona, Spain
MedPRAI 2018	The Second Mediterranean Conference on Pattern Recognition and Artificial Intelligence (MedPRAI-2018)	Rabat, Morocco
ICCCB - Ei 2017	2017 International Conference on Computational Chemistry and Biology (ICCCB 2017)--EI Compendex, Scopus	Barcelona, Spain
WCICSS 2017	The World Congress on Industrial Control Systems Security	University of Cambridge
KARE 2017	KARE 2017 - The 9th International Workshop on Knowledge Acquisition Reuse & Evaluation	Jaipur, India
CSBio 2017	The 8th International Conference on Computational Systems-Biology and Bioinformatics (CSBio 2017)	NhaTrang, Vietnam
IEEE ITNEC 2017	2017 IEEE 2nd Information Technology,Networking,Electronic and Automation Control Conference	ChengDu,China
IEEE - ISCMI 2017	2017 4th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2017)--IEEE Xplore, Ei Compendex	Republic of Mauritius
ICBBE - Ei 2017	2017 4th International Conference on Biomedical and Bioinformatics Engineering (ICBBE 2017) - ACM and Ei Compendex	Seoul, South Korea
ICBEF 2017	2017 International Conference on Biometric Engineering and Forensics (ICBEF 2017)-Ei Compendex, Scopus and ISI	Seoul, South Korea
CRoNe 2017	3rd Congress on Robotics and Neuroscience	Valparaíso, Chile
ICMV 2017	2017 The 10th International Conference on Machine Vision (ICMV 2017) - SPIE	Vienna, Austria
ACM SAC-COCO 2018	Cognitive Computing Track @ The 33nd ACM Symposium on Applied Computing - ACM SAC 2018	Pau, France
SoICT 2017	The Eighth International Symposium on Information and Communication Technology	NhaTrang, Vietnam
TAAI 2017	The 22nd Conference on Technologies and Applications of Artificial Intelligence [Deadline Extended]	Taipei, Taiwan
AAAI 2018	The Thirty-Second AAAI Conference on Artificial Intelligence	New Orleans, Lousiana, USA
PRASA-RobMech 2017	Symposium of the Pattern Recognition Association of South Africa (PRASA) and Conference of Robotics and Mechatronics (RobMech)	Central University of Technology, RSA
MVIP 2017	The 10th Iranian Conference on Machine Vision and Image Processing	Isfahan, Iran
LKE 2017	5th International Symposium on Language & Knowledge Engineering	Puebla, Mexico
CORE 2017	CORE 2017 (17th International Congress on Computer Science)	Mexico City
AI*AAL.it 2017	Third Italian Workshop on Artificial Intelligence for Ambient Assisted Living	Bari - Italy
it 2017	Special issue on Human Computation of 'it - Information Technology'	N/A
ICOAI 2017	2017 4th International Conference on Artificial Intelligence (ICOAI 2017)	Florence, Italy
ARCS (SITIS) 2017	International Workshop on Advances in Robotics and Cognitive Systems (co-located with SITIS2017)	Jaipur, India
AIVR 2017	1st Workshop on Artificial Intelligence Meets Virtual and Augmented Realities (AI-VR) in conjuction with SIGGRAPH Asia	Bangkok, Thailand
ICCMA - Ei 2017	2017 The 5th International conference on Control, Mechatronics and Automation (ICCMA 2017)--Ei Compendex and Scopus	University of Alberta, Edmonton, Canada
ICMAM - Ei 2017	2017 4th International Conference on Mechatronics, Automation and Manufacturing (ICMAM 2017)--EI Compendex, Scopus	Phuket, Thailand
MIKE 2017	Mining Intelligence and Knowledge Exploration, The Fifth International Conference	IDRBT, Hyderabad, India
ICCBB 2017	2017 International Conference on Computational Biology and Bioinformatics (ICCBB 2017)--Ei Compendex, Scopus and CPCI	New Jersey, USA
IS 2017	International Conference “Interactive Systems: Problems of Human-Computer Interaction”	Ulyanovsk, Russia
MECN 2017	3rd International Conference on Mechanical Engineering	Dubai, UAE
SoDeLIA 2017	Special Session on Deep Learning and Its Applications	Brunei
WAAISC 2017	1st Workshop on Applications of Artificial Intelligence in Smart Cities	Boston, MA, USA
ICTCC 2017	3rd International Conference on NaTure of Computation and Communication	Tam Ky City, Vietnam
ICCASA 2017	6th EAI International Conference on Context-Aware Systems and Applications	Tam Ky City, Vietnam
