conference_acronym	conference_name	conference_location
ICBDA-IEEE 2018	2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA 2018)--IEEE Xplore and Ei Compendex	Shanghai, China
ICFCC 2018	2018 The 10th International Conference on Future Computer and Communication (ICFCC 2018)--Ei & Scopus	Singapore
ParLearning 2018	The 7th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Vancouver, Canada
ISNN 2018	15th International Symposium on Neural Networks	Minsk, Belarus
ICAISE--IEEE 2018	2018 International Conference on Artificial Intelligence and Software Engineering (ICAISE 2018)--IEEE, EI Compendex and Scopus	Chengdu, China
AIAI 2018	14th Artificial Intelligence Applications and Innovations 2018	Rhodes island Greece
ICMLT 2018	2018 International Conference on Machine Learning Technologies (ICMLT 2018)--Ei Compendex and Scopus	Jinan, China
SPIE--IWPR 2018	SPIE--2018 the 3rd International Workshop on Pattern Recognition (IWPR 2018)--Ei, Scopus and ISI	Jinan, China
EAIS 2018	Evolving and Adaptive Intelligent Systems 2018	Island of Rhodes, Greece
ITS 2018	The 14th International Conference on Intelligent Tutoring Systems	Montreal, Canada
ITS 2018	Intelligent Tutoring Systems	Montreal, Canada
GECCO 2018	Genetic and Evolutionary Computation Conference	Kyoto, Japan
IJCAI 2018	International Joint Conferences on Artificial Intelligence Organization	Stockholm, Sweden
ISASE-MAICS 2018	The 4th International Symposium on Affective Science and Engineering and the 29th Modern Artificial Intelligence and Cognitive Science Conference	Spokane, WA, USA
DCAI 2018	15th International Conference on Distributed Computing and Artificial Intelligence	Toledo, Spain
ICMSC 2018	IEEE-ICMSC 2018-International Conference on Mechanical, System and Control Engineering--Ei Compendex & Scopus	Moscow, Russia
AIMS 2018	The 7th International Conference on AI and Mobile Services	Seattle, WA, USA
ACL 2018	56th Annual Meeting of the Association for Computational Linguistics	Melbourne, Australia
BigData 2018	The 7th International Congress on Big Data	Seattle, WA, USA
INISTA 2018	IEEE International Conference on Innovations in Intelligent SysTems and Applications	Thessaloniki, Greece
ECCV 2018	European Conference on Computer Vision	Munich, Germany
CIG 2018	2018 IEEE Conference on Computational Intelligence and Games	Maastricht, the Netherlands
MESS 2018	Metaheuristics Summer School	Taormina-Sicily, Italy
ICCBR 2018	International Conference on Case-Based Reasoning	Stockholm, Sweden
KES 2018 	KES Invited Session on Pattern Recognition: Trends, Applications and Challenges	Belgrade, Serbia
ICISIP 2018	The 6th IIAE International Conference on Intelligent Systems and Image Processing 2018	Matsue, Japan
ACIIDS 2018	10th Asian Conference on Intelligent Information and Database Systems	Dong Hoi City, Vietnam
StoryCase 2012	ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)	Lyon, France
CLOSER 2018	8th International Conference on Cloud Computing and Services Science	Funchal, Madeira, Portugal
CSAI 2017	2017 International Conference on Computer Science and Artificial Intelligence (CSAI 2017)--Ei Compendex & Scopus	Kalbis Institute, Jakarta, Indonesia
IUI 2017	Intelligent User Interfaces	Limassol, Cyprus
AISTATS 2018	The 21st International Conference on Artificial Intelligence and Statistics	Playa Blanca, Lanzarote
ISICS 2018	International Symposium on Intelligent Computing Systems - ISICS 2018	Merida, Mexico
ARIN 2017	3rd International Conference on Artificial Intelligence	Dubai, UAE
SAI 2017	6 th International Conference on Soft Computing, Artificial Intelligence and Applications	Sydney, Australia
ACM--ICMCE 2017	ACM--2017 6th International Conference on Mechatronics and Control Engineering (ICMCE 2017)--Ei Compendex, ISI Web of Science and Scopus	St. Petersburg, Russia
ICROM 2017	Ei--2017 the International Conference on Robotics and Electromechanical (ICRoM 2017)--Scopus	Hong Kong
WoLGA 2018	Workshop on Logical Geometry and its Applications	Vichy, France
ICMME 2017	2017 The 4th International Conference on Mechatronics and Mechanical Engineering (ICMME 2017)--Ei Compendex and Scopus	Kuala Lumpur, Malaysia
BRAIN 2017	Broad Research in Artificial Intelligence and Neuroscience	Bacau
KRR@SAC 2018	KRR@SAC 2018 : Knowledge Representation and Reasoning (track of the 33rd ACM/SIGAPP Symposium On Applied Computing)	Pau, France
ICSC 2018	12th IEEE International Conference on Semantic Computing (ICSC 2018)	Laguna Hills, CA
ICBSB 2017	2017 2nd International Conference on Biomedical Signal and Bioinformatics (ICBSB 2017)--Ei Compendex and Scopus	Auckland, New Zealand
